TRIP
DATE 1970-01-01

DECLINATION	0.00
DATA
17		0.587	198.22	+81.37	
17		0.513	76.92	+7.80	
17		0.955	248.38	+1.35	
17		0.364	249.42	-31.86	
17		0.962	167.13	+32.52	
17		1.489	161.63	+13.20	
17		1.386	162.49	-16.14	
17		1.373	296.23	+6.08	
17		2.978	319.80	+12.11	
17		2.978	319.80	+12.11	
17		1.271	1.69	+19.89	
17		3.114	355.53	+13.00	
17		1.921	338.92	+27.12	
17		2.616	339.94	+2.27	
17		1.002	144.01	+4.02	
17		1.272	184.51	+2.26	
17		0.784	219.93	+19.10	
17	18	5.706	345.29	+12.85		;  {from: 5.708 345.30 +12.87, 5.704 345.28 +12.85, 5.705 345.29 +12.81}
18		0.938	156.56	+31.59	
18		2.032	130.44	-9.29	
18		2.389	151.28	-11.98	
18		1.573	192.30	-8.46	
18		2.072	166.29	-5.11	
18		1.283	199.51	+16.58	
18		0.747	217.50	+1.14	
18		1.284	205.99	-29.87	
18		1.771	161.95	-30.12	
18		2.293	140.44	-17.59	
18		1.164	101.71	-3.37	
18		1.306	66.30	+6.35	
18		1.338	50.64	+20.38	
18		0.924	35.63	+45.88	
18		2.579	34.22	+11.52	
18		0.827	48.68	-30.22	
18		1.450	22.78	-12.33	
18		2.760	11.84	-5.75	
18		2.805	3.57	+10.16	
18		1.927	353.64	+14.41	
18		1.312	346.30	+17.56	
18		0.366	341.81	+25.78	
18		0.662	48.01	+64.99	
18		1.484	24.48	+36.58	
18		2.404	20.72	+26.46	
18		0.940	78.19	-36.12	
18	19	2.769	11.22	-5.19		;  {from: 2.773 11.24 -5.25, 2.769 11.25 -5.13, 2.765 11.16 -5.19}
19		1.179	304.82	+82.92	
19		1.572	87.77	+74.00	
19		1.886	96.47	+41.61	
19		0.535	275.84	+9.68	
19		1.241	122.18	+35.27	
19		0.754	115.81	+26.08	
19		0.493	118.02	+7.51	
19		0.252	119.38	-34.40	
19		2.177	202.60	+11.04	
19		1.377	239.52	+36.13	
19		1.431	253.22	+22.55	
19		1.923	155.70	+20.52	
19		1.363	187.99	-2.69	
19		1.766	97.04	+25.83	
19		2.640	90.09	+12.81	
19		2.787	74.55	+12.54	
19		2.950	52.19	+9.57	
19		2.544	33.90	+11.12	
19		3.507	17.01	+6.65	
19		4.991	5.03	+2.68	
19		1.697	29.44	+65.67	
19		2.515	27.97	+34.71	
19		2.612	25.91	+14.30	
19	20	6.123	3.35	-8.53		;  {from: 6.121 3.37 -8.54, 6.124 3.33 -8.50, 6.123 3.34 -8.56}
20		4.168	211.45	+5.04	
20		0.227	48.43	+25.37	
20		3.914	210.40	-15.65	
20		2.157	205.95	-44.71	
20		0.231	199.23	+50.37	

PLAN
STATIONS
0.0	-0.0	1
2.4645028	3.5870628	2
1.6969922	5.3867445	3
2.1000495	6.8186626	4
3.8223867	8.981112	5
3.1552763	9.888197	6
6.436575	12.811978	7
5.4785557	15.7110815	8
5.7867312	17.505402	9
4.2992244	19.564747	10
3.229935	19.469473	11
2.1884084	21.638771	12
0.8306395	22.494257	13
1.5688329	25.20596	14
0.654482	26.711578	15
-2.4109058	27.148987	16
-3.120338	23.26253	17
-4.5329924	17.881622	18
-3.9964128	15.176274	19
-3.642901	9.131325	20
SHOTS
0.0	-0.0	2.4645028	3.5870628
2.4645028	3.5870628	0.7657198	3.6700697
2.4645028	3.5870628	0.90138197	3.7184792
2.4645028	3.5870628	2.493738	3.4771593
2.4645028	3.5870628	2.7023923	3.4871547
2.4645028	3.5870628	1.7525988	3.685569
2.4645028	3.5870628	1.8715703	3.8472989
2.4645028	3.5870628	1.6969922	5.3867445
1.6969922	5.3867445	1.799039	5.319956
1.6969922	5.3867445	2.6216779	5.0204997
1.6969922	5.3867445	2.4074438	5.096476
1.6969922	5.3867445	1.922062	5.3400764
1.6969922	5.3867445	2.1000495	6.8186626
2.1000495	6.8186626	3.125156	6.635929
2.1000495	6.8186626	2.9530802	6.8426867
2.1000495	6.8186626	2.4098375	6.890753
2.1000495	6.8186626	2.0647569	6.84103
2.1000495	6.8186626	2.5397375	6.700546
2.1000495	6.8186626	3.8223867	8.981112
3.8223867	8.981112	2.5587993	9.102438
3.8223867	8.981112	2.9615407	8.978462
3.8223867	8.981112	3.572865	8.828869
3.8223867	8.981112	3.9674609	8.939951
3.8223867	8.981112	3.1679583	9.02957
3.8223867	8.981112	2.4143023	6.692888
3.8223867	8.981112	2.1076355	7.7710686
3.8223867	8.981112	2.6013422	7.138439
3.8223867	8.981112	3.0796375	9.275545
3.8223867	8.981112	3.1232312	10.20805
3.8223867	8.981112	3.4175944	11.081621
3.8223867	8.981112	3.6641717	10.431182
3.8223867	8.981112	4.2250743	10.613596
3.8223867	8.981112	3.9088686	9.340961
3.8223867	8.981112	4.068079	9.390392
3.8223867	8.981112	3.1142285	9.8561735
3.8223867	8.981112	3.1552763	9.888197
3.1552763	9.888197	4.1080422	9.851244
3.1552763	9.888197	4.476124	10.687281
3.1552763	9.888197	4.2364893	10.787629
3.1552763	9.888197	4.0080214	10.371119
3.1552763	9.888197	6.8567505	11.936087
3.1552763	9.888197	4.6696944	11.705859
3.1552763	9.888197	7.176514	11.212606
3.1552763	9.888197	6.436575	12.811978
6.436575	12.811978	5.20887	9.176692
6.436575	12.811978	5.644314	9.403138
6.436575	12.811978	5.644314	9.403138
6.436575	12.811978	3.4621987	12.224854
6.436575	12.811978	4.162033	13.242541
6.436575	12.811978	5.2609234	10.569231
6.436575	12.811978	5.7304525	11.650648
6.436575	12.811978	5.7651997	11.612137
6.436575	12.811978	6.005249	12.539985
6.436575	12.811978	5.850737	12.005855
6.436575	12.811978	6.7790184	11.994134
6.436575	12.811978	6.841198	12.84241
6.436575	12.811978	6.893474	13.554076
6.436575	12.811978	5.539784	13.496509
6.436575	12.811978	5.329876	12.502557
6.436575	12.811978	6.3483024	15.105647
6.436575	12.811978	6.1187754	14.572229
6.436575	12.811978	5.667318	13.882364
6.436575	12.811978	6.392647	13.629651
6.436575	12.811978	5.4785557	15.7110815
5.4785557	15.7110815	6.14951	12.848269
5.4785557	15.7110815	5.915703	13.855871
5.4785557	15.7110815	5.599073	15.073081
5.4785557	15.7110815	5.632121	15.654577
5.4785557	15.7110815	6.2347994	15.7262335
5.4785557	15.7110815	6.1736383	15.393444
5.4785557	15.7110815	5.3513503	15.679293
5.4785557	15.7110815	5.474363	16.070108
5.4785557	15.7110815	6.2162733	16.154228
5.4785557	15.7110815	6.1784244	16.30321
5.4785557	15.7110815	5.8498106	16.550556
5.4785557	15.7110815	5.7867312	17.505402
5.7867312	17.505402	5.827499	17.424122
5.7867312	17.505402	4.3144593	16.98458
5.7867312	17.505402	5.1116505	17.228624
5.7867312	17.505402	5.020778	17.299461
5.7867312	17.505402	5.426249	17.472017
5.7867312	17.505402	6.168083	17.63857
5.7867312	17.505402	6.104487	17.563145
5.7867312	17.505402	5.676704	17.227861
5.7867312	17.505402	5.711559	16.77002
5.7867312	17.505402	5.8409433	15.321827
5.7867312	17.505402	6.093973	15.641186
5.7867312	17.505402	6.1966543	16.138065
5.7867312	17.505402	6.3284836	16.77099
5.7867312	17.505402	6.1006765	17.266165
5.7867312	17.505402	5.368736	17.023474
5.7867312	17.505402	4.9251637	16.95622
5.7867312	17.505402	4.2992244	19.564747
4.2992244	19.564747	4.355777	19.578194
4.2992244	19.564747	5.8200555	20.130194
4.2992244	19.564747	4.6461716	19.701094
4.2992244	19.564747	3.229935	19.469473
3.229935	19.469473	4.9293957	22.580507
3.229935	19.469473	3.5976543	22.14348
3.229935	19.469473	3.0119882	23.461525
3.229935	19.469473	2.2664163	21.94229
3.229935	19.469473	2.247182	20.248098
3.229935	19.469473	2.3757796	19.864557
3.229935	19.469473	3.0721369	19.998308
3.229935	19.469473	4.340114	19.98141
3.229935	19.469473	4.768168	19.300877
3.229935	19.469473	3.1015816	21.559
3.229935	19.469473	3.3290894	18.859234
3.229935	19.469473	4.079303	18.746874
3.229935	19.469473	4.899187	17.989622
3.229935	19.469473	4.386781	18.093307
3.229935	19.469473	4.170776	18.264526
3.229935	19.469473	2.3121312	19.107124
3.229935	19.469473	2.8903317	19.200878
3.229935	19.469473	3.2424476	18.86612
3.229935	19.469473	2.1884084	21.638771
2.1884084	21.638771	2.2292068	21.577984
2.1884084	21.638771	1.6936444	20.275448
2.1884084	21.638771	1.5944314	20.242762
2.1884084	21.638771	2.0164492	21.042906
2.1884084	21.638771	2.0369744	21.597418
2.1884084	21.638771	1.1881278	21.42008
2.1884084	21.638771	0.74516845	21.125546
2.1884084	21.638771	0.7440504	20.54459
2.1884084	21.638771	2.2466118	21.631968
2.1884084	21.638771	1.9372711	20.636343
2.1884084	21.638771	0.8306395	22.494257
0.8306395	22.494257	0.90670824	22.581263
0.8306395	22.494257	1.5486033	22.540543
0.8306395	22.494257	1.413531	22.531853
0.8306395	22.494257	-0.029994786	22.645676
0.8306395	22.494257	0.037102282	22.390318
0.8306395	22.494257	0.6304173	21.153332
0.8306395	22.494257	1.3562901	20.382164
0.8306395	22.494257	2.0118198	20.440567
0.8306395	22.494257	1.5688329	25.20596
1.5688329	25.20596	1.5718573	25.006388
1.5688329	25.20596	1.3453935	25.055387
1.5688329	25.20596	0.9885642	25.068356
1.5688329	25.20596	1.5750806	25.246964
1.5688329	25.20596	0.748077	25.285254
1.5688329	25.20596	0.59755516	25.393774
1.5688329	25.20596	1.4032238	25.199537
1.5688329	25.20596	1.1099331	23.753902
1.5688329	25.20596	1.825605	24.172146
1.5688329	25.20596	1.3051937	24.271017
1.5688329	25.20596	1.5014353	24.290192
1.5688329	25.20596	1.1219497	24.570898
1.5688329	25.20596	0.6029287	26.779366
1.5688329	25.20596	1.6011624	27.216972
1.5688329	25.20596	0.971592	27.034939
1.5688329	25.20596	1.6158984	26.648678
1.5688329	25.20596	1.9612746	27.446419
1.5688329	25.20596	0.7688091	25.73379
1.5688329	25.20596	0.32691264	25.75448
1.5688329	25.20596	0.654482	26.711578
0.654482	26.711578	0.58956885	26.7044
0.654482	26.711578	0.41808873	26.09494
0.654482	26.711578	0.58295983	26.49005
0.654482	26.711578	0.35338902	27.289148
0.654482	26.711578	2.0420797	25.08379
0.654482	26.711578	1.4652209	25.040134
0.654482	26.711578	1.9734458	26.651228
0.654482	26.711578	2.1319523	27.18997
0.654482	26.711578	-1.893787	28.71146
0.654482	26.711578	-0.16685337	25.524574
0.654482	26.711578	-1.1637509	25.075771
0.654482	26.711578	-3.246152	25.128796
0.654482	26.711578	-3.457221	26.424295
0.654482	26.711578	0.43735158	26.445477
0.654482	26.711578	-0.5282519	26.552471
0.654482	26.711578	-0.6199678	27.86482
0.654482	26.711578	-2.363832	28.585722
0.654482	26.711578	-2.4109058	27.148987
-2.4109058	27.148987	-1.881392	27.056772
-2.4109058	27.148987	-1.881392	27.056772
-2.4109058	27.148987	-0.8075861	26.732517
-2.4109058	27.148987	-1.2363797	26.872688
-2.4109058	27.148987	-1.2363797	26.872688
-2.4109058	27.148987	-2.3968143	27.135319
-2.4109058	27.148987	-1.3741258	26.644447
-2.4109058	27.148987	0.097961664	26.56615
-2.4109058	27.148987	-3.4766912	25.496128
-2.4109058	27.148987	-3.0372856	24.818472
-2.4109058	27.148987	-2.4603837	24.35104
-2.4109058	27.148987	-1.4315846	24.852776
-2.4109058	27.148987	-0.7474282	24.8162
-2.4109058	27.148987	-0.28986502	25.691153
-2.4109058	27.148987	0.37495208	25.56196
-2.4109058	27.148987	0.13889718	27.330711
-2.4109058	27.148987	-0.0993011	27.964909
-2.4109058	27.148987	0.016578674	28.825201
-2.4109058	27.148987	0.027282238	30.067726
-2.4109058	27.148987	-2.1091895	28.61455
-2.4109058	27.148987	-1.3046585	30.292099
-2.4109058	27.148987	-2.2878277	28.359676
-2.4109058	27.148987	-2.4848082	27.506132
-2.4109058	27.148987	-3.341959	25.727781
-2.4109058	27.148987	-3.120338	23.26253
-3.120338	23.26253	-3.1478841	23.34623
-3.120338	23.26253	-2.624894	23.147402
-3.120338	23.26253	-4.0082726	23.614458
-3.120338	23.26253	-3.41009	23.371347
-3.120338	23.26253	-2.9396405	24.053644
-3.120338	23.26253	-2.6632817	24.638649
-3.120338	23.26253	-2.7197385	24.532578
-3.120338	23.26253	-4.345402	22.658985
-3.120338	23.26253	-4.9999256	21.038166
-3.120338	23.26253	-4.9999256	21.038166
-3.120338	23.26253	-3.0850203	22.067526
-3.120338	23.26253	-3.3570576	20.23721
